__time,_src_T_in,_src_T_out,_sink_T_out,_sink_T_in,_Energy_kWh,_Q_cond_kW,__interval_h,_T_source_ref_C,_T_sink_ref_C,m_dot_kg_s,P_comp_kW,Q_cond_kW,Q_evap_kW,COP,T2_C,T4_C
2024-09-30 03:29:10.835000,59.52447407760263,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-30 04:29:10.827500,59.13984876919562,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-30 05:29:10.820000,58.98367599614045,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-30 06:29:10.812500,57.360340513829044,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-30 07:29:10.805000,55.435625631130904,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-30 08:29:10.797500,55.23470290598743,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-30 09:29:10.790000,55.28802820364524,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-30 10:29:10.782500,55.50915022892332,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-30 11:29:10.775000,57.072370985182715,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-30 12:29:10.767500,59.77460367769061,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-30 13:29:10.760000,60.1287976533211,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-30 14:29:10.752500,60.19585372667683,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-30 15:29:10.745000,60.1537299378067,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-30 16:29:10.737500,59.555655725939005,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-30 17:29:10.730000,58.76778956589334,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-30 18:29:10.722500,58.35504236291342,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-30 19:29:10.715000,57.97363005154682,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-30 20:29:10.707500,57.815637842971,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-30 21:29:10.700000,58.2026829474209,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-30 22:29:10.692500,58.58005689236484,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-30 23:29:10.685000,58.67101738755821,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-10-01 00:29:10.677500,58.20216331621924,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-10-01 01:29:10.670000,57.6545417218378,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-10-01 02:29:10.662500,57.85239926707425,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-10-01 03:29:10.655000,58.6101946626037,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-10-01 04:29:10.647500,59.55138727856314,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-10-01 05:29:10.640000,60.141762039186915,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-10-01 06:29:10.632500,60.328062179623544,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-10-01 07:29:10.625000,59.39125930456942,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-10-01 08:29:10.617500,57.41865650629484,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-10-01 09:29:10.610000,59.1149021574584,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-10-01 10:29:10.602500,60.2060731172669,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-10-01 11:29:10.595000,59.8961255121485,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
